,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,TEAM_PERF,OPP_PERF,TEAM_WIN_PCT,OPP_WIN-PCT,WIN
0,143.0,0.643,0.875,0.636,42.0,32.0,113.0,0.494,0.76,0.364,32.0,36.0,1,114.5,116.1,0.794,0.697,0
1,132.0,0.517,0.781,0.425,27.0,47.0,94.0,0.473,0.923,0.343,23.0,29.0,1,116.4,113.2,0.794,0.472,0
2,110.0,0.421,0.773,0.394,21.0,43.0,126.0,0.531,0.846,0.462,31.0,41.0,0,117.5,111.7,0.794,0.469,1
3,118.0,0.459,0.806,0.395,23.0,49.0,106.0,0.415,0.846,0.395,31.0,48.0,1,119.8,114.9,0.794,0.543,0
4,125.0,0.506,0.84,0.41,30.0,34.0,119.0,0.465,0.862,0.424,27.0,46.0,1,120.3,111.2,0.794,0.389,0
5,128.0,0.549,0.813,0.414,22.0,55.0,111.0,0.4,0.789,0.4,25.0,37.0,1,117.5,113.0,0.794,0.649,0
6,123.0,0.511,0.8,0.333,26.0,53.0,107.0,0.437,0.731,0.3,17.0,39.0,1,117.9,121.8,0.794,0.472,1
7,124.0,0.535,0.81,0.429,26.0,40.0,123.0,0.459,0.76,0.333,26.0,42.0,1,116.7,119.4,0.794,0.743,0
8,104.0,0.404,0.789,0.295,26.0,47.0,112.0,0.478,0.611,0.385,26.0,47.0,0,118.2,112.5,0.794,0.389,0
9,120.0,0.529,0.5,0.481,34.0,35.0,101.0,0.44,0.9,0.107,17.0,45.0,1,119.4,110.5,0.794,0.278,1
10,119.0,0.483,0.652,0.4,32.0,50.0,111.0,0.462,0.667,0.333,28.0,44.0,1,119.0,112.7,0.794,0.697,1
11,116.0,0.462,0.63,0.341,21.0,39.0,113.0,0.477,0.783,0.256,27.0,50.0,1,118.3,105.5,0.794,0.486,0
12,114.0,0.443,0.759,0.4,22.0,31.0,137.0,0.575,0.85,0.426,36.0,47.0,0,116.2,115.1,0.794,0.457,1
13,129.0,0.515,0.833,0.444,33.0,49.0,118.0,0.474,0.882,0.244,28.0,42.0,1,113.8,117.7,0.794,0.743,1
14,124.0,0.495,0.692,0.373,36.0,45.0,107.0,0.453,0.667,0.379,22.0,43.0,1,114.3,110.2,0.794,0.5,1
15,128.0,0.538,0.714,0.357,30.0,50.0,83.0,0.378,0.895,0.233,17.0,34.0,1,116.9,114.9,0.794,0.371,0
16,120.0,0.456,0.852,0.333,24.0,45.0,127.0,0.535,0.733,0.511,38.0,40.0,0,115.6,106.7,0.794,0.278,1
17,111.0,0.451,0.55,0.36,32.0,51.0,101.0,0.345,0.941,0.265,16.0,45.0,1,115.8,111.6,0.794,0.472,1
18,130.0,0.512,0.84,0.525,33.0,47.0,119.0,0.457,1.0,0.429,30.0,40.0,1,116.2,113.2,0.794,0.771,0
19,132.0,0.534,0.938,0.511,35.0,40.0,95.0,0.36,0.684,0.25,18.0,53.0,1,113.5,112.2,0.794,0.412,1
20,122.0,0.516,0.632,0.432,31.0,45.0,115.0,0.467,0.938,0.34,27.0,43.0,1,115.0,117.1,0.794,0.405,0
21,106.0,0.488,0.786,0.417,29.0,44.0,101.0,0.402,0.731,0.267,25.0,46.0,1,116.7,117.8,0.794,0.556,1
